                                                                                              202.21
                              Реестр зарегистрированных в АГКГН

               географических названий населённых пунктов на 28.01.2019

                                         Липецкая область

Регистр.                   Название                 Тип объекта       Географические         Номенкл.
 номер              географического объекта                             координаты              листа
                                                                                                карты
                                                                   Широта         Долгота    масштаба
                                                                                             1 :100 000
   1                           2                          3                   4                   5

                        Населённые пункты, не относящиеся к районам
                                         количество записей - 2


0010389    Елец                                    город           52°37'          38°31'    N-37-126
                                                   обл.подч.

0010400    Липецк                                  город           52°37'          39°36'    N-37-128
                                                   обл.подч.




                                         Воловский район
                                         количество записей - 77


0080044   Нижнематренские Выселки   деревня    52°13'       40°13'     N-37-141
0079382   Нижняя Матренка           село       52°16'       40°07'     N-37-141
0080113   Никанорово                деревня    52°09'       40°34'     N-37-142
0078978   Николаевка                деревня    52°15'       40°36'     N-37-142
0079395   Никольское                село       52°18'       40°09'     N-37-141
0080114   Никольское 2-е            деревня    52°08'       40°12'     N-37-141
0080115   Никольское 2-е            деревня    52°14'       40°22'     N-37-141
0080117   Новая                     деревня    52°04'       40°14'     N-37-141
0080118   Новая Жизнь               деревня    52°19'       40°14'     N-37-141
0078655   Новопетровка              село       52°12'       40°39'     N-37-142
0079384   Новочеркутино             село       52°19'       40°24'     N-37-141
0080141   Новый Свет                посёлок    52°26'       40°13'     N-37-129
0078966   Ольговка                  деревня    52°14'       40°21'     N-37-141
0079393   Ольховка                  село       52°12'       40°06'     N-37-141
0080119   Ольшанка                  деревня    52°19'       40°09'     N-37-141
0079394   Отскочное                 село       52°11'       40°13'     N-37-141
0079392   Павловка                  село       52°14'       40°27'     N-37-141
0080120   Падворские Выселки        село       52°18'       40°12'     N-37-141
0080121   Панино-Липецкое           деревня    52°08'       40°20'     N-37-141
0078880   Паршиновка                село       51°59'       40°32'     M-37-010
0080213   Петровка                  деревня    52°11'       40°20'     N-37-141
0078969   Петровка                  деревня    52°01'       40°25'     N-37-141

                                                        Стр. 9 из 39
  1                            2                    3                 4                  5

0079011   Плавица                            ж.-д.ст.(нп)    52°14'       40°21'      N-37-141
0078959   Плоская Вершина                    деревня         51°59'       40°15'      M-37-009
0080209   Поддубровка                        деревня         52°05'       40°25'      N-37-141
0080205   Покровка                           деревня         52°11'       40°38'      N-37-142
0080208   Покровка                           деревня         52°13'       40°22'      N-37-141
0080204   Политотдел                         посёлок         52°16'       40°38'      N-37-142
